Club,Twitter,Last Tweet,Followers,NU Specifc,Include: 58
Lipstick Theatre,lipsticktheatre,6/11/2015,60,1,
Boomshaka,Boomshaka_NU,11/18/2017,288,1,1
Northwestern Crew,NUcrew,11/21/2017,752,1,1
Cookology NU,CookologyNU,7/9/2015,8,1,
NUsolar,NUsolar,11/29/2017,1645,1,1
NU Community Ensemble,nce1971,3/5/2017,97,1,
Challah for Hunger,NU_CfH,5/29/2017,132,1,
NU Dance Marathon,NUDM,11/29/2017,2545,1,1
NU Campus Kitchen,NUCampusKitchen,8/17/2017,585,1,1
Alternative Student Breaks,ASB_NU,12/19/2014,242,1,
Applause For a Cause,ApplauseNU,11/24/2017,136,1,
Athletes in Action,nuaia1,11/21/2017,227,1,1
Brain Awareness Outreach,nubrainoutreach,5/20/2017,119,1,
Best Buddies,BestBuddies,11/29/2017,29771,0,
Be the Match,BeTheMatch,11/29/2017,33267,0,
Camp Kesem,CampKesem,11/29/2017,2720,0,
Student Action NU,StudentsActNU,9/25/2017,206,1,1
NU College Feminists,NUFems,2/23/2017,89,1,
College Mentors for Kids,CollegeMentors,11/29/2017,1741,0,
Design for America,DFANorthwestern,11/2/2017,378,1,1
Engineers Without Borders,ewbnu,10/23/2015,26,1,
Fiedler Hillel,NUHillel,11/17/2017,867,1,1
Global Brigades,GlobalBrigades,8/8/2017,2374,0,
GlobeMed,GlobeMedNU,5/13/2015,230,1,
GreekBuild,NUGreekBuild,8/18/2017,325,1,1
Habitat for Humanity,NUHabitatBuilds,11/3/2015,389,1,
Happiness Club,happinessclubnu,10/16/2016,472,1,
Homecoming,NUHomecoming,10/4/2017,746,1,1
iGEM,iGEMovement,3/1/2016,106,1,
Kappa Phi Lambda,KappaPhiLambda,11/27/2017,1404,0,
La Unidad Latina,LULNorthwestern,9/28/2014,28,1,
MORE at Northwestern,MOREoutreach,9/1/2016,15,1,
Mortar Board,MortarBoard,11/27/2017,1874,0,
NSBE Northwestern,NSBENU,3/23/2013,311,1,
Neuro Club,NUNeuroClub,5/31/2016,51,1,
NCDC Northwestern,NCDCnu,10/24/2016,284,1,
NETG,NorthwesternETG,11/1/2017,121,1,
NSFL,NU_For_Life,11/19/2017,74,1,
NUSTARS,NUSTARS,10/20/2017,43,1,
Northwestern Wildside,NUWildside,11/29/2017,4002,1,1
NU Gives Back,NUGivesBack,9/22/2013,316,1,
Omega Psi Phi,OfficialOPPF,11/27/2017,9972,0,
Peer Health Exchange,NorthwesternPHE,10/2/2014,23,1,
Phi Delta Theta,PhiDeltNU,11/9/2015,399,1,
Phi Mu Alpha Sinfonia,IotaSinfonia,1/29/2015,221,1,
Swipe Out Hunger,SwipeHunger,11/29/2017,802,0,
Purple Crayon Players,NUpurplecrayon,10/31/2017,237,1,1
Rainbow Alliance,nurainbow,11/15/2017,153,1,
RUF Northwestern,RUFNorthwestern,4/11/2017,129,1,
Relay For Life,NUrelayforlife,11/16/2017,489,1,1
Save a Child's Heart,SACHtweets,11/6/2017,1303,0,
Sigma Alpha Iota,SAIBeta,11/17/2017,249,1,1
Sigma Psi Zeta,NU_Sigmas,1/1/2017,79,1,
SHPE Northwestern,SHPENU,2/6/2016,176,1,
SWE Northwestern,sweNU,2/28/2013,168,1,
St. Baldrick's,stbaldricksatnu,1/20/2016,194,1,
Northwestern SEED,NUSEED,12/2/2015,240,1,
SSDP at NU,SSDPNU,1/20/2016,194,1,
Supplies for Dreams,supplies4dreams,11/14/2017,302,0,
THUNK a cappella,THUNKacappella,11/22/2017,265,1,1
Tufaan Entertainment,tufaan2018,11/29/2017,444,1,1
UNICEF NU,UNICEFCampus,11/29/2017,1144,0,
UNITY Fashion Show,UNITYatNU,2/19/2016,179,1,
NU World Cup,NUWorldCup,10/29/2016,17,1,
Young Life,YLNorthShore,7/18/2016,80,0,
Zeta Phi Beta,NuSigma_Zetas,3/27/2016,969,1,
A&O Productions,aoproductions,11/11/2017,1773,1,1
Asterik A cappella,asteriknu,6/9/2017,273,1,1
Brown Sugar NU,BrownSugarNU,8/4/2017,326,1,1
Chamber Opera Initiative,chamberoperaNU,1/12/2015,39,1,
Northwestern Skating,NUSkating,4/7/2017,439,1,1
Deeva,DeevaDance,3/4/2010,102,1,
NU Extreme Measures,ExtremeNU,9/21/2014,210,1,
Freshman Fifteen,f15acappella,11/17/2017,281,1,1
Graffiti Dancers,NU_Graffiti,1/13/2017,84,1,
Helicon,NUHelicon,11/8/2017,203,1,1
Jewish Theatre Ensemble,NUJTE,11/28/2017,237,1,1
Mariachi Northwestern,MariachiNU,6/11/2016,445,1,
Mee-Ow,Mee_Ow,2/17/2017,398,1,1
Niteskool Productions,Niteskool,7/9/2013,71,1,
NACCA,NUNACCA,9/28/2017,144,1,
NorthwesternU Anime,animeatNU,10/30/2014,20,1,
Northwestern Bhangra,NU_Bhangra,11/16/2016,99,1,
NSTV,NSTV,9/24/2017,737,1,1
NU Channel 1,NUChannel1,6/7/2017,178,1,
PROMPT Lit Mag,promptlitmag,10/27/2016,377,1,
Purple Haze,nupurplehaze,9/24/2017,632,1,1
Scene+Heard,SceneandHeardNU,3/16/2016,50,1,
ShireiNU A Cappella,ShireiNU,11/20/2017,227,1,1
Significant Others,SigONU,10/5/2017,197,1,
Sit & Spin Productions,sitandspinNU,1/18/2016,199,1,
Spectrum Theatre,SpectrumNU,11/29/2017,157,1,
Spoon Magazine,SpoonUniversity,11/12/2017,17129,0,
Steam Heat,NUSteamHeat,11/14/2017,46,1,
Studio 22 Productions,Studio22NU,3/19/2015,153,1,
The Undertones,NUUndertones,9/30/2016,338,1,
The Waa-Mu Show,TheWaaMuShow,4/28/2017,367,1,1
Tonik Tap,TonikTap,10/2/2014,96,1,
NU Treblemakers,nutreblemakers,11/29/2017,314,1,1
WAVE Productions,WAVEproductions,4/15/2014,66,1,
WNUR Student Radio,WNUR893,9/18/2017,1386,1,1
X-Factors A Cappella,XFactorsNU,11/22/2017,426,1,1
Northwestern ASA,ASANorthwestern,1/4/2017,202,1,
Northwestern CSA,northwesternCSA,8/9/2017,87,1,
For Members Only,FMO_NU,3/5/2016,428,1,
GES,TheGES,11/3/2017,1129,1,1
NU McSA,NUMcSA,2/23/2017,437,1,1
NUCHR,nuhumanrights,2/3/2017,372,1,1
NU-NAISA,NU_NAISA,1/20/2014,64,1,
SJP Northwestern,SJPNU,6/23/2015,1082,1,
TAMID Group,NU_Tamid,6/26/2016,46,1,
Wildcats for Israel,Wildcats4Israel,8/3/2015,88,1,
NU Club Lax,NUClubLax,11/15/2014,45,1,
Northwestern Flipside,nuflipside,8/22/2017,647,1,1
Northwestern Ski Trip,Nu_SkiTrip,5/12/2014,175,1,
NU Women Filmmakers,NUWFA,1/10/2017,579,1,
Alpha Phi,NU_Alpha_Phi,11/1/2014,649,1,
Delta Chi,NUDeltaChi,8/15/2016,353,1,
Delta Gamma,NUDeeGee,5/20/2016,763,1,
Delta Sigma Theta,TAntalizingTA,4/25/2017,341,1,1
Greek InterVarsity,NUGreekIV,3/2/2016,117,1,
Kappa Delta,NUKappaDelta,6/9/2017,609,1,1
Lambda Chi Alpha,NU_LambdaChi,10/26/2011,89,1,
Northwestern MARS,MARSatNU,11/29/2017,151,1,
Northwestern NPHC,nuNPHC,1/9/2017,360,1,
Omega Delta Phi,NU_ODPhi,11/25/2017,428,1,1
Order of Omega,OOOatNU,5/22/2014,218,1,
Panhellenic Association,NorthwesternPHA,11/15/2017,966,1,1
Pi Beta Phi,NU_PiBetaPhi,1/20/2015,785,1,
Sigma Chi,NUSigmaChi,10/20/2016,505,1,
Sigma Lambda Beta,NU_Betas,6/22/2016,83,1,
Sigma Lambda Gamma,SLGTauAlpha,10/15/2017,669,1,1
Zeta Beta Tau,ZeeBeeTweets,9/8/2016,543,1,
Northwestern ASG,NorthwesternASG,11/29/2017,1836,1,1
Interfraternity Council,NUIFC,11/14/2017,729,1,1
